TITLE,A1,A2,JOURNAL,YEAR,AGE,Rank,H Count,IN PRESS,2002,2003,2004,2005,2006,2007,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,TOTAL,salt,salted,GOOGLE,Cites Per Year,C+12,R+12,H+12,C+24,R+24,H+24,C+24,R+24,H+36,>100,>100+12,>100+24,>100+36,*,H
The effect of warming on grassland evapotranspiration partition using laser-based isotope monitoring techniques,"Wang, L","Nui, S.",Geochemica et Cosmochimica Acta,2013,6,31,1,0,,,,,,,,,,,,,0,6,4,7,8,5,5,0,35,0.9,35.9,38,5.8,41,30,1,47,31,1,52,31,1,0,0,0,0,0,31
Spatial patterns of soil nutrients in two southern African savannas,"Okin, GS","Mladenov, N",JGR - Biogeosciences,2008,11,32,1,0,,,,,,,,1,5,6,2,2,2,4,3,3,2,0,2,0,32,0.3,32.3,40,2.9,35,34,1,38,36,1,41,36,1,0,0,0,0,0,32
When is breeding for drought tolerance optimal when drought is random?,"Sambatti, J","Caylor, K.K.",New Phytologist,2007,12,33,0,0,,,,,,0,,3,1,4,2,5,4,3,4,2,2,1,1,0,32,0.8,32.8,52,2.7,35,35,0,37,37,1,40,37,1,0,0,0,0,0,0
Multi-sensor derivation of regional vegetation fractional cover in Africa,"Guan, K","Wood, EF",Remote Sensing of Environment,2012,7,34,0,0,,,,,,,,,,,,0,1,8,1,7,7,3,4,0,31,0.4,31.4,35,4.4,35,33,1,40,33,1,44,34,1,0,0,0,0,0,0
Tree canopy effects on simulated water stress in southern African savannas,"Caylor, K.K.","Shugart, HH",Ecosystems,2005,14,35,0,1,,,,0,1,1,,0,6,2,2,4,0,3,4,2,3,1,2,0,31,0.9,31.9,45,2.2,33,37,0,35,38,0,38,38,0,0,0,0,0,0,0
Spatial variation in vegetation structure coupled to plant available water at landscape scales in a Brazilian savanna,"Ferira, J.","Bustamente, M",Oecologia,2007,12,36,0,0,,,,,,0,,1,1,1,6,0,1,3,3,7,3,2,2,0,30,0.9,30.9,45,2.5,33,38,0,35,39,0,38,39,0,0,0,0,0,0,0
The southern African Regional Science Initiative (SAFARI 2000): Wet season campaigns,"Otter, LB","Scholes, RJ",South African Journal of Science,2002,17,37,0,0,2,7,6,3,1,2,,3,0,0,0,1,1,1,0,3,0,0,0,0,30,0.6,30.6,28,1.8,32,40,0,34,40,0,35,41,0,0,0,0,0,0,0
Using atmospheric trajectories to model the isotopic composition of rainfall in central Kenya,"Soderberg, K.","Good, S.P.",Ecosphere,2013,6,38,0,0,,,,,,,,,,,,,0,3,1,5,5,10,5,0,29,0.8,29.8,33,4.8,34,36,0,39,35,1,43,35,1,0,0,0,0,0,0
"Decoupling structural and environmental determinants of sap velocity: Part II, Observational application","Dragoni, D","Caylor, K.K.",Agriculture & Forest Meteorology,2009,10,39,0,0,,,,,,,,,1,0,2,2,5,4,1,4,3,5,0,0,27,0.5,27.5,41,2.7,30,41,0,32,41,0,35,42,0,0,0,0,0,0,0
Feasible optimality of vegetation patterns in river basins,"Caylor, K.K.","Scanlon, TM",Geophysical Research Letters,2004,15,40,0,0,,,0,1,3,1,,1,6,1,1,2,4,3,1,1,1,1,0,0,27,0.9,27.9,45,1.8,29,42,0,31,43,0,32,51,0,0,0,0,0,0,0
A  simulation analysis of the detectability of understory burns in miombo woodlands,"Pereira, JMC","Mota, B",Remote Sensing of Environment,2004,15,41,0,0,,,0,1,3,2,,3,3,1,2,2,1,2,2,1,1,1,2,0,27,0.1,27.1,41,1.8,29,42,0,31,43,0,32,51,0,0,0,0,0,0,0
Dynamic interactions of ecohydrological and biogeochemical processes in water-limited systems,"Wang, L.","Manzoni, S.",Ecosphere,2015,4,42,0,,,,,,,,,,,,,,,,0,4,10,6,6,0,26,1.0,27.0,24,6.5,33,38,0,39,34,1,46,33,1,0,0,0,0,0,0
Coupling vegetation organization patterns to soil resource heterogeneity in a central Kenyan dryland using geophysical imagery,"Franz, T.","King, E.G.",Water Resources Research,2011,8,43,0,0,,,,,,,,,,,0,5,1,2,4,1,4,3,5,0,25,0.5,25.5,28,3.1,28,44,0,31,42,0,34,45,0,0,0,0,0,0,0
Combined effect of soil moisture and nitrogen availability variations on grass productivity in African savannas,"Wang, L","D'Odorico, P",Plant & Soil,2010,9,44,0,0,,,,,,,,,,2,1,3,4,2,4,4,1,1,3,0,25,0.9,25.9,36,2.8,28,45,0,31,45,0,33,47,0,0,0,0,0,0,0
Regional fuel load for two climatically contrasting years in southern Africa,"Hely, C","Dowty, PR",JGR - Atmospheres,2003,16,45,0,0,,1,3,4,1,2,,2,1,2,3,1,1,1,0,1,0,0,0,0,23,0.8,23.8,48,1.4,24,49,0,26,54,0,27,60,0,0,0,0,0,0,0
Virtual water trade and development in Africa,"Konar, M","Caylor, K.K.",Hydrology and Earth System Science,2013,6,46,0,0,,,,,,,,,,,,,0,3,6,3,3,4,3,0,22,0.9,22.9,29,3.7,26,46,0,29,47,0,33,48,0,0,0,0,0,0,0
Seasonal coupling of canopy structure and function in African tropical forests and its environmental controls,"Guan, K.","Wood, E.F.",Ecosphere,2013,6,47,0,0,,,,,,,,,,,,,0,3,1,4,9,2,3,0,22,0.1,22.1,23,3.7,26,46,0,29,47,0,33,48,0,0,0,0,0,0,0
An ecohydrological approach to predicting hillslope-scale vegetation patterns in dryland ecosystems,"Franz, TE","Caylor, K.K.",Water Resources Research,2012,7,48,0,0,,,,,,,,,,,,3,3,5,2,3,3,0,2,0,21,0.1,21.1,24,3.0,24,50,0,27,51,0,30,53,0,0,0,0,0,0,0
On the importance of accurate depiction of infiltration processes on model soil moisture and vegetation water stress,"Manfreda, S.","Scanlon, TM",Ecohydrology,2010,9,49,0,0,,,,,,,,,,1,1,2,0,3,1,1,4,3,5,0,21,0.2,21.2,25,2.3,23,51,0,26,55,0,28,57,0,0,0,0,0,0,0
Warmer and wetter soil stimulates assimilation more than respiration in rainfed agricultural ecosystem on the China Loess Plateau: the role of partially plastic film mulching tillage,"Gong, D.","Hao, W.",PLoS ONE,2015,4,50,0,,,,,,,,,,,,,,,,0,0,11,5,4,0,20,0.4,20.4,21,5.0,25,48,0,30,46,0,35,43,0,0,0,0,0,0,0
"Ecohydrology in Practice: Strengths, Conveniences, and Opportunities","King, E.G.","Caylor, K.K.",Ecohydrology,2011,8,51,0,0,,,,,,,,,,,0,4,3,6,2,1,3,1,0,0,20,0.9,20.9,24,2.5,23,53,0,25,56,0,28,58,0,0,0,0,0,0,0
"Decoupling structural and environmental determinants of sap velocity: Part I, Theoretical development","Caylor, K.K.","Dragoni, D.",Agriculture & Forest Meteorology,2009,10,52,0,0,,,,,,,,,1,1,3,0,3,2,2,3,1,4,0,0,20,0.3,20.3,27,2.0,22,54,0,24,59,0,26,62,0,0,0,0,0,0,0
The Spatial and Temporal Domains of Modern Ecology,"Estes, L","Elsen, P.",Nature Ecology & Evolution,2018,1,53,0,,,,,,,,,,,,,,,,,,,6,13,0,19,0.3,19.3,13,19.0,38,32,1,57,25,1,76,18,1,0,0,0,0,1,0
Evaluating ecohydrological theories of woody root distribution in the Kalahari,"Bhattachan, A",,PLoS ONE,2012,7,54,0,0,,,,,,,,,,,,2,3,1,5,2,3,1,1,1,19,0.3,19.3,26,2.7,22,55,0,24,58,0,27,61,0,0,0,0,0,0,0
Simulated productivity of heterogeneous patches in Southern African savanna landscapes using a canopy productivity model,"Caylor, K.K.","Shugart, HH",Landscape Ecology,2004,15,55,0,0,,,0,0,3,2,,3,1,2,1,0,2,0,0,1,0,4,1,0,20,0.3,20.3,26,1.3,21,56,0,23,62,0,24,66,0,0,0,0,0,0,0
Relationship between small-scale structural variability and simulated vegetation productivity across a regional moisture gradient in southern Africa,"Caylor, K.K.","Dowty, PR",Global Change Biology,2004,15,56,0,2,,,1,1,2,4,,2,2,1,1,1,0,0,1,1,0,1,0,0,18,0.9,18.9,32,1.2,19,60,0,20,67,0,22,69,0,0,0,0,0,0,0
Community Water Governance on Mount Kenya: An Assessment Based on Ostrom's Design Principles of Natural Resource Management,"Dell’Angelo, J","McCord, P",Mountain Research & Development,2016,3,57,0,,,,,,,,,,,,,,,,,1,2,6,8,0,17,0.3,17.3,18,5.7,23,52,0,28,49,0,34,46,0,0,0,0,0,0,0
